name,puzzle_type,puzz_link_url,date,author,solves,difficulty,source_url,pzplus_url,pzv_url,scraped_at
heyablock0001,heyablock,https://puzz.link/p?heyablock/8/8/aikl59aaikl06f637j1jpgpgi102222i22i0,"12/6/2023, 11:00 PM",rever,62,3,https://rever-puzzos.blogspot.com/2023/12/logic-puzzles-55-57-revers-25-days-of.html,https://pzplus.tck.mn/p?heyablock/8/8/aikl59aaikl06f637j1jpgpgi102222i22i0,http://pzv.jp/p?heyablock/8/8/aikl59aaikl06f637j1jpgpgi102222i22i0,2026-01-28T13:00:17.937424
heyablock0002,heyablock,https://puzz.link/p?heyablock/8/8/04j5rd8a8l60e4610vo169q0342213612,"12/6/2023, 11:00 PM",rever,66,3,https://rever-puzzos.blogspot.com/2023/12/logic-puzzles-55-57-revers-25-days-of.html,https://pzplus.tck.mn/p?heyablock/8/8/04j5rd8a8l60e4610vo169q0342213612,http://pzv.jp/p?heyablock/8/8/04j5rd8a8l60e4610vo169q0342213612,2026-01-28T13:00:17.941840
heyablock0003,heyablock,https://puzz.link/p?heyablock/10/10/11amldaqlh3265caggfu00f000vv00f600fu552233g352g541,"12/6/2023, 11:00 PM",rever,64,2,https://rever-puzzos.blogspot.com/2023/12/logic-puzzles-55-57-revers-25-days-of.html,https://pzplus.tck.mn/p?heyablock/10/10/11amldaqlh3265caggfu00f000vv00f600fu552233g352g541,http://pzv.jp/p?heyablock/10/10/11amldaqlh3265caggfu00f000vv00f600fu552233g352g541,2026-01-28T13:00:17.945649
heyablock0004,heyablock,https://puzz.link/p?heyablock/10/8/2o5gqhi3r78dgh000s40b1asl0g2866666666,"3/30/2023, 6:13 AM",@kaysakado,91,3,https://twitter.com/kaysakado/status/1641202054063423489,https://pzplus.tck.mn/p?heyablock/10/8/2o5gqhi3r78dgh000s40b1asl0g2866666666,http://pzv.jp/p?heyablock/10/8/2o5gqhi3r78dgh000s40b1asl0g2866666666,2026-01-28T13:00:17.948570
heyablock0005,heyablock,https://puzz.link/p?heyablock/9/9/6gq389144gs3ge00003u73g73g1s003h5g74j2,"12/31/2022, 7:00 AM",brokensign,43,4,https://brokensign.com/puzzle/2022/12/31/heyablock.html,https://pzplus.tck.mn/p?heyablock/9/9/6gq389144gs3ge00003u73g73g1s003h5g74j2,http://pzv.jp/p?heyablock/9/9/6gq389144gs3ge00003u73g73g1s003h5g74j2,2026-01-28T13:00:17.952112
heyablock0006,heyablock,https://puzz.link/p?heyablock/10/10/acmpdip4284j9mjd6a1ou00vvs007vv00f3g3h11g1n2g3g3g2g,"12/9/2022, 10:38 PM",@bakpao_puz,66,4,https://twitter.com/bakpao_puz/status/1601224684271325184,https://pzplus.tck.mn/p?heyablock/10/10/acmpdip4284j9mjd6a1ou00vvs007vv00f3g3h11g1n2g3g3g2g,http://pzv.jp/p?heyablock/10/10/acmpdip4284j9mjd6a1ou00vvs007vv00f3g3h11g1n2g3g3g2g,2026-01-28T13:00:17.954782
heyablock0007,heyablock,https://puzz.link/p?heyablock/10/10/akl9ail5aakl9ail5a00vv0000vv0000vv0032i42g522g3h3g32g,"12/9/2022, 12:19 AM",@TealsPuzzles,67,3,https://twitter.com/TealsPuzzles/status/1600887713565212675,https://pzplus.tck.mn/p?heyablock/10/10/akl9ail5aakl9ail5a00vv0000vv0000vv0032i42g522g3h3g32g,http://pzv.jp/p?heyablock/10/10/akl9ail5aakl9ail5a00vv0000vv0000vv0032i42g522g3h3g32g,2026-01-28T13:00:17.957315
heyablock0008,heyablock,https://puzz.link/p?heyablock/10/10/488gh7buntfqsh12243o3ovv003o00vv3o3o726i22j2h4g6g2,"12/2/2022, 1:07 AM",@TealsPuzzles,52,2,https://twitter.com/TealsPuzzles/status/1598363228538605568,https://pzplus.tck.mn/p?heyablock/10/10/488gh7buntfqsh12243o3ovv003o00vv3o3o726i22j2h4g6g2,http://pzv.jp/p?heyablock/10/10/488gh7buntfqsh12243o3ovv003o00vv3o3o726i22j2h4g6g2,2026-01-28T13:00:17.961758
heyablock0009,heyablock,https://puzz.link/p?heyablock/10/10/9cip5h92i54a8kh92i0000vs030sv0vvssss333h23333i3g3j,"12/1/2022, 9:59 PM",@TealsPuzzles,28,3,https://twitter.com/TealsPuzzles/status/1598315816352636928,https://pzplus.tck.mn/p?heyablock/10/10/9cip5h92i54a8kh92i0000vs030sv0vvssss333h23333i3g3j,http://pzv.jp/p?heyablock/10/10/9cip5h92i54a8kh92i0000vs030sv0vvssss333h23333i3g3j,2026-01-28T13:00:17.964768
heyablock0010,heyablock,https://puzz.link/p?heyablock/10/10/akl9ail5aakl9ail5a00vv00vv00vv00vv00222222j2h2i2h22h2,"11/30/2022, 1:16 PM",@TealsPuzzles,36,5,https://twitter.com/TealsPuzzles/status/1597821881079693312,https://pzplus.tck.mn/p?heyablock/10/10/akl9ail5aakl9ail5a00vv00vv00vv00vv00222222j2h2i2h22h2,http://pzv.jp/p?heyablock/10/10/akl9ail5aakl9ail5a00vv00vv00vv00vv00222222j2h2i2h22h2,2026-01-28T13:00:17.967655
heyablock0011,heyablock,https://puzz.link/p?heyablock/10/10/49ojh7224488ghh324s70700s700s707s0072-131j2343h031,"11/29/2022, 11:52 PM",@TealsPuzzles,48,3,https://twitter.com/TealsPuzzles/status/1597619622593069058,https://pzplus.tck.mn/p?heyablock/10/10/49ojh7224488ghh324s70700s700s707s0072-131j2343h031,http://pzv.jp/p?heyablock/10/10/49ojh7224488ghh324s70700s700s707s0072-131j2343h031,2026-01-28T13:00:22.885579
heyablock0012,heyablock,https://puzz.link/p?heyablock/15/10/4i894gi914i2944i894gi914i294000vvv000vvv000vvv000vvv0001122222024024311331235234,"11/29/2022, 11:09 PM",@WStrijkstra,54,3,https://twitter.com/WStrijkstra/status/1597608729633079303,https://pzplus.tck.mn/p?heyablock/15/10/4i894gi914i2944i894gi914i294000vvv000vvv000vvv000vvv0001122222024024311331235234,http://pzv.jp/p?heyablock/15/10/4i894gi914i2944i894gi914i294000vvv000vvv000vvv000vvv0001122222024024311331235234,2026-01-28T13:00:22.891646
heyablock0013,heyablock,https://puzz.link/p?heyablock/10/10/rjn7eestp224489cip0e0e0e00vu1uu0vu001141h3i32i2g2,"11/29/2022, 3:45 AM",@TealsPuzzles,38,3,https://twitter.com/TealsPuzzles/status/1597315887002157056,https://pzplus.tck.mn/p?heyablock/10/10/rjn7eestp224489cip0e0e0e00vu1uu0vu001141h3i32i2g2,http://pzv.jp/p?heyablock/10/10/rjn7eestp224489cip0e0e0e00vu1uu0vu001141h3i32i2g2,2026-01-28T13:00:22.895768
heyablock0014,heyablock,https://puzz.link/p?heyablock/8/8/aikl59aaikl003vg1vo0vs00322k32k2,"11/29/2022, 2:28 AM",@TealsPuzzles,71,3,https://twitter.com/TealsPuzzles/status/1597296299342430209,https://pzplus.tck.mn/p?heyablock/8/8/aikl59aaikl003vg1vo0vs00322k32k2,http://pzv.jp/p?heyablock/8/8/aikl59aaikl003vg1vo0vs00322k32k2,2026-01-28T13:00:22.899163
heyablock0015,heyablock,https://puzz.link/p?heyablock/6/6/sss8883g7s0f2i22h,"11/21/2022, 5:11 PM",@menderbug,145,2,https://twitter.com/menderbug/status/1594619403035082755,https://pzplus.tck.mn/p?heyablock/6/6/sss8883g7s0f2i22h,http://pzv.jp/p?heyablock/6/6/sss8883g7s0f2i22h,2026-01-28T13:00:22.902438
heyablock0016,heyablock,https://puzz.link/p?heyablock/6/6/qq00aa0co360i103,"10/18/2022, 6:00 AM",brokensign,80,2,https://brokensign.com/puzzle/2022/10/18/heyablock.html,https://pzplus.tck.mn/p?heyablock/6/6/qq00aa0co360i103,http://pzv.jp/p?heyablock/6/6/qq00aa0co360i103,2026-01-28T13:00:22.905103
